Date,Time,ConversationID,ScrubbedUtterance,Intent,IntentConfidence,Bot Response,UserFeedback Sentiment,UserFeedbackComments
18-Jun,0:51,d544bbca-93a8-4336-85fa-b9a851ac7314,what is my maximum out of pocket cost each year,View_Contribution_Limit,87%,I understand that you're interested in learning more about contribution limits.,-1,Asking about deductibles  not contributions
18-Jun,18:25,fd60426c-401f-44a0-963d-773b7c56339c,chiropracter benefits,Enroll_in_Plan,79%,Lets talk about enrolling in benefits! Workday's next Open Enrollment period is November 1-15  2019. Additional details will be sent via email as the date approaches. For step-by-step instructions on how to enroll in your benefits  check out our training options: https://wd5.myworkday.com/workday/d/inst/17498$1151/rel-task/2998$28786.htmld|Desktop https://wd5.myworkday.com/workday/d/inst/17498$1210/rel-task/2998$28786.htmld|Mobile If you do not make any changes during Open Enrollment  your current elections will rollover to the following plan year. With the exception of the FSA plans (Healthcare  Limited Purpose  and Dependent Care)  active election is required in order to participate in the FSA plans each year  as prior year elections do not carry over.,-1,Asking if insurance covers chiropractor care  not asking to enroll in benefits
18-Jun,0:24,e3ead08b-38cd-4770-9747-d79b80c9c081,are braces covered,List_Reimbursable_Expenses,33%,Looks like you're interested in learning more about reimbursement expenses.,-1,Braces arenâ€™t about reimbursement  rather dental benefits
18-Jun,19:29,b5513140-0c02-4102-a5c4-93e326e3357c,how do i enroll in the limited purpose fsa,Enroll_in_Plan,98%,I am glad you asked! You can enroll in the Limited Purpose FSA if you are enrolled in an HSA plan. However  you can only use your contributions in the Limited Purpose FSA for eligible dental and vision expenses. Click https://www.wageworks.com/employees/support-center/limited-purpose-fsa-eligible-expenses-table|here for a list of eligible Limited FSA expenses.,0,Cool
18-Jun,0:50,bffd5069-44d1-42c2-90a4-7ee3052eb5f3,how often am i eligible for a new pair of glasses,Enroll_in_Plan,92%,Workday's vision plan provider is VSP. VSP does not provide cards to enrolled members  however you can find a list of preferred vision providers at https://www.vsp.com|VSP. Your vision provider will be able to confirm your membership in VSP if you provide them with your name and the Workday plan #30010377.   All benefit changes and elections are made within Workday. You can only make changes to your benefits during Open Enrollment  typically the first two weeks of November  or within 30 days of a Qualifying Life Event. For a list of Benefits Eligibility and Qualifying Life Events click https://workdayinc.benefitstream.net/your-benefits-28/eligibility|here Username: workday Password: welcome2benefits To change your benefits in Workday: Click the Benefits application in Workday  Change  Benefits  Select the Qualifying Reason and the Benefit Event Date  Attach support document/s  Submit.  After submitting  your request will be approved by our benefits team. Once approved  you will receive a task in your inbox to update your benefits.,0,Cut the 2nd half of the answer  not necessary.
18-Jun,4:38,695a38eb-608b-4df7-99e6-e5e06948fb41,Tell me a joke,ChatBot_Jokes,100%,Did you hear about the dog who had puppies on the sidewalk? She was ticketed for littering.,1,Dad jokes are the best!
17-Jun,18:45,875b8e11-282c-4f27-a120-49621c678af9,what is an hsa,Understand_Generally,100%,I can certainly help with all sorts of questions. Is there something specific I can help you with?,-1,Didn't answer the question.
18-Jun,0:39,10291fbc-fe4a-4780-960c-15d33819cf95,personal loa,Request_Leave_of_Absence,91%,Workday recognizes there may be times when you need to take a leave of absence to attend to a medical condition  bond with a new child  take care of an ill or injured family member  or take time off for other circumstances.   You can find additional information about the different types of leaves available to you at https://workdayinc.benefitstream.net/leave-absence-5|BenefitStream.net.  Username: workday Password: welcome2benefits You may also plan a leave of absence  learn more about leaves and your benefits related to leaves  and file a leave claim by visiting LeaveLogic at https://workday.leavelogic.com|Workday LeaveLogic. If would like to speak to someone about a leave of absence you can contact Unum  Workday's leave of absence administrator  at 1.866.865.9092 or 1.207.575.0680.,0,Didnâ€™t find any information on personal LoA on the website provided
18-Jun,4:47,a2114a45-1e2d-4857-8c62-fa3e427a7d5a,what covered do i have while traveling for business,Enroll_in_Plan,48%,Lets talk about enrolling in benefits! Workday's next Open Enrollment period is November 1-15  2019. Additional details will be sent via email as the date approaches. For step-by-step instructions on how to enroll in your benefits  check out our training options: https://wd5.myworkday.com/workday/d/inst/17498$1151/rel-task/2998$28786.htmld|Desktop https://wd5.myworkday.com/workday/d/inst/17498$1210/rel-task/2998$28786.htmld|Mobile If you do not make any changes during Open Enrollment  your current elections will rollover to the following plan year. With the exception of the FSA plans (Healthcare  Limited Purpose  and Dependent Care)  active election is required in order to participate in the FSA plans each year  as prior year elections do not carry over.,-1,Does not answer my question.
18-Jun,16:30,23b14939-b3c9-4978-9767-b432061153b2,is there pet insurance,Enroll_in_Plan,50%,Lets talk about enrolling in benefits! Workday's next Open Enrollment period is November 1-15  2019. Additional details will be sent via email as the date approaches. For step-by-step instructions on how to enroll in your benefits  check out our training options: https://wd5.myworkday.com/workday/d/inst/17498$1151/rel-task/2998$28786.htmld|Desktop https://wd5.myworkday.com/workday/d/inst/17498$1210/rel-task/2998$28786.htmld|Mobile If you do not make any changes during Open Enrollment  your current elections will rollover to the following plan year. With the exception of the FSA plans (Healthcare  Limited Purpose  and Dependent Care)  active election is required in order to participate in the FSA plans each year  as prior year elections do not carry over.,-1,does not provide a way to find information on pet insurance or let me know whether pet insurance is offered
18-Jun,0:16,9240b38c-8dc8-4b85-b792-cd2ffdcd49fc,Eye doctor,View_Benefits_Changes,59%,Sounds like you're trying to make a benefits change.,-1,Eye doctor question should Point to vision benefits
17-Jun,21:18,91e3346f-ad10-4731-96b7-7b0282c08f6f,Well i was really just saying hi. im not sure im ready to leave feedback or check-in on my 401K.,ChatBot_Feedback,77%,I love getting feedback from Workmates because it helps me improve my responses.  Click the feedback button and share your thoughts!,0,For some constructive feedback: Wex comes on a bit strong out of the gate.  I simply said Hi Wex! and I was met with a request to give Wex Feedback AND I was recommended the top 3 items like 401K  etc.  I recommend having the casual response  of hello  hi can I help today? and then let the chat bot figure it out from there.
17-Jun,18:46,875b8e11-282c-4f27-a120-49621c678af9,Tell me a joke,ChatBot_Jokes,100%,How did the little Scottish dog feel when he saw a monster? Terrier-fied.,1,
17-Jun,23:42,f1dedbee-0c9b-4d03-81c9-a0f8a0565aa2,are you a good boy,ChatBot_Positive_Feedback,46%,Thanks! I'm glad I could contribute to this great Workday community!,1,Loving Wex! I did ask a question Are you a good boy? and the answer felt disconnected Thanks! I'm glad I could contribute to this great Workday community!
17-Jun,16:29,6c5ce7bd-69ee-4d92-97fe-2a93aeeb34bf,whats my health plan options,Compare_Plans,95%,I am glad you asked! You can compare medical plans and review our benefits summary by checking out our benefits portal https://workdayinc.benefitstream.net/your-benefits-28/medical-plans-0|here Username: workday Password: welcome2benefits You can also have a conversation with https://www.myalex.com/workday/2019|ALEX -- a fun  online  confidential tool that will tell you what Workday offered plan it thinks will work best for you.,1,again  great reference  a big question for me is are we going to provide any more than links to external sites for content  are we going to be pulling in content into the chatbot?
18-Jun,4:46,a2114a45-1e2d-4857-8c62-fa3e427a7d5a,does workday have benefits for estate planning,Enroll_in_Plan,92%,Lets talk about enrolling in benefits! Workday's next Open Enrollment period is November 1-15  2019. Additional details will be sent via email as the date approaches. For step-by-step instructions on how to enroll in your benefits  check out our training options: https://wd5.myworkday.com/workday/d/inst/17498$1151/rel-task/2998$28786.htmld|Desktop https://wd5.myworkday.com/workday/d/inst/17498$1210/rel-task/2998$28786.htmld|Mobile If you do not make any changes during Open Enrollment  your current elections will rollover to the following plan year. With the exception of the FSA plans (Healthcare  Limited Purpose  and Dependent Care)  active election is required in order to participate in the FSA plans each year  as prior year elections do not carry over.,1,Question not answered.
19-Jun,18:30,26c53d7b-f205-4b0d-af9d-719db090925a,company holidays,Understand_Generally,53%,The Workday Holiday schedule can be found https://workday--simpplr.na68.visual.force.com/apex/Simpplr__SiteContent#/site/a7x80000000004zAAA/page/a7t8000000000M2AAI|here.,0,Having asked WEX 'what are the company holidays for Workday NA' and receiving the response about 'reimbursement' I added a second 'statement' - Company Holidays - it was not until I refocused from a question to a direct word  that I got the response
17-Jun,16:40,c6b6bfd8-8ec1-4d09-8486-9c28e121b893,fitness program,Enroll_in_Plan,100%,Workday wants to help you stay healthy and reach your fitness goals! We have a fitness reimbursement program that allows you to expense $50 per month (USD) on eligible fitness expenses.   To enroll in the fitness program:   1. Log into Workday   2. Select your Benefits icon  3. Select Change  Benefits  4. Select the Benefit Event type Add/Remove Fitness Program and Benefit Event Date  5. Attach supporting documents  6. Submit For more info  check out https://workday--simpplr.na68.visual.force.com/apex/Simpplr__SiteContent?origin=ac#/site/a7x80000000006hAAA/page/a7t800000000A6oAAE|Workday's Fitness Program or you can view the https://wd5.myworkday.com/workday/d/inst/17498$1077/rel-task/2998$28786.htmld|Workday Learning job aid. If you're having any trouble enrolling  submit a https://workday.service-now.com/servicehub?id=sc_cat_item&sys_id=50303249dbcd3f00b89d7e88f4961948&sysparm_category=e15706fc0a0a0aa7007fc21e1ab70c2f|Service Hub request.,1,Accurate response + hyperlinks. Not sure if it will be helpful/necessary to include that this is for employees only in this message: _Workday wants to help you stay healthy and reach your fitness goals! We have a fitness reimbursement program (for employees) that allows you to expense $50 per month (USD) on eligible fitness expenses._
19-Jun,18:21,9f1d8103-84de-43f8-b577-2ac2ce3a62ab,how do i call cigna with a question,Get_Plan_Info,42%,To view a summary of your benefit elections  and costs  including medical  dental  vision and 401(k) from your Workday Home page:  1. Click the Benefits application.  2. From the View card  click the Benefit Elections button.   3. Click the Excel icon to download the list in a spreadsheet.   4. Click  the print icon to save as a PDF. Open the PDF and print. To learn more about Workday's benefit plans  visit BenefitStream https://workdayinc.benefitstream.net|here Username: workday Password: welcome2benefits When you make a change to your benefits it may take 1 to 2 payroll periods to see the change reflected on your check. The timing is dependent on when you completed your benefits enrollment task in Workday  the effective date of your enrollments  and the Payroll processing dates. If you'd like us to research your specific situation  please open a ServiceHub ticket via People & Purpose.,0,How do I call Cigna with a question? I recently learned that the number on the back of my Cigna card is not the correct number to call. We have a dedicated team at Cigna for questions. I got bounced around 3 times before they found me the right person. I think if Wex was able to give that direct number  it would be aweome!
18-Jun,4:26,2e5ccad6-80ce-45e0-bdbd-e25e92f243f0,what is the group policy number for delta dental,Enroll_in_Plan,86%,Great question! Workday's dental plan provider is Delta Dental. You can enroll in Delta Dental during Open Enrollment or within 30 days of a qualifying life event such as marriage  birth  etc.  Your Delta Dental ID number is on your Dental card. If you don't have this card  you can always log into https://www.deltadentalins.com|DeltaDentalins.com and print a temporary one.,0,I am not sure if the question was answered. There is a lot of extra info that was provided that I did not ask for. My preference would be to answer my question first and then have any supplemental info. And in this response I don't know if a Dental Dental ID number is the same as a group policy number.
17-Jun,16:26,46c4aed9-1a93-4f73-8d8c-028bf76ea3c1,what kind of benefits do i have for pets,Enroll_in_Plan,30%,Lets talk about enrolling in benefits! Workday's next Open Enrollment period is November 1-15  2019. Additional details will be sent via email as the date approaches. For step-by-step instructions on how to enroll in your benefits  check out our training options: https://wd5.myworkday.com/workday/d/inst/17498$1151/rel-task/2998$28786.htmld|Desktop https://wd5.myworkday.com/workday/d/inst/17498$1210/rel-task/2998$28786.htmld|Mobile If you do not make any changes during Open Enrollment  your current elections will rollover to the following plan year. With the exception of the FSA plans (Healthcare  Limited Purpose  and Dependent Care)  active election is required in order to participate in the FSA plans each year  as prior year elections do not carry over.,0,i asked a question about pets benefits  was wondering if it would be more specific
17-Jun,17:37,821e107b-ef06-41fc-ba1e-2506cf5c0aed,pet insurance,Enroll_in_Plan,100%,Lets talk about enrolling in benefits! Workday's next Open Enrollment period is November 1-15  2019. Additional details will be sent via email as the date approaches. For step-by-step instructions on how to enroll in your benefits  check out our training options: https://wd5.myworkday.com/workday/d/inst/17498$1151/rel-task/2998$28786.htmld|Desktop https://wd5.myworkday.com/workday/d/inst/17498$1210/rel-task/2998$28786.htmld|Mobile If you do not make any changes during Open Enrollment  your current elections will rollover to the following plan year. With the exception of the FSA plans (Healthcare  Limited Purpose  and Dependent Care)  active election is required in order to participate in the FSA plans each year  as prior year elections do not carry over.,-1,I asked about pet insurance and Wex brought up information on how to enroll in benefits.  Pet insurance is not a benefit you enroll through Workday.
17-Jun,16:25,de822bf4-5e6c-47f0-80c3-0fc0cc2081ef,how many hours do i have to work in order to be eligible for benefits,Request_Leave_of_Absence,35%,Workday recognizes there may be times when you need to take a leave of absence to attend to a medical condition  bond with a new child  take care of an ill or injured family member  or take time off for other circumstances.   You can find additional information about the different types of leaves available to you at https://workdayinc.benefitstream.net/leave-absence-5|BenefitStream.net.  Username: workday Password: welcome2benefits You may also plan a leave of absence  learn more about leaves and your benefits related to leaves  and file a leave claim by visiting LeaveLogic at https://workday.leavelogic.com|Workday LeaveLogic. If would like to speak to someone about a leave of absence you can contact Unum  Workday's leave of absence administrator  at 1.866.865.9092 or 1.207.575.0680.,0,I asked about the # of hours required to work in order to be eligible for benefits and I received information on what I needed to know to go on a leave. So may be relevant to some  however  I would've expected that it linked me to information about benefits eligibility.
17-Jun,19:03,485c4148-4b85-4044-946e-37082c49865f,when do i switch from pre tax to after tax,Get_Tax_Information,96%,Looks like you're interested in learning more about taxes.,-1,I asked about timing of switching from 401k pre tax to after tax and it responded with information on tax implications in the HSA
17-Jun,18:46,875b8e11-282c-4f27-a120-49621c678af9,how do i submit for fitness allowance,Enroll_in_Plan,97%,Workday wants to help you stay healthy and reach your fitness goals! We have a fitness reimbursement program that allows you to expense $50 per month (USD) on eligible fitness expenses.   To enroll in the fitness program:   1. Log into Workday   2. Select your Benefits icon  3. Select Change  Benefits  4. Select the Benefit Event type Add/Remove Fitness Program and Benefit Event Date  5. Attach supporting documents  6. Submit For more info  check out https://workday--simpplr.na68.visual.force.com/apex/Simpplr__SiteContent?origin=ac#/site/a7x80000000006hAAA/page/a7t800000000A6oAAE|Workday's Fitness Program or you can view the https://wd5.myworkday.com/workday/d/inst/17498$1077/rel-task/2998$28786.htmld|Workday Learning job aid. If you're having any trouble enrolling  submit a https://workday.service-now.com/servicehub?id=sc_cat_item&sys_id=50303249dbcd3f00b89d7e88f4961948&sysparm_category=e15706fc0a0a0aa7007fc21e1ab70c2f|Service Hub request.,1,
19-Jun,4:58,5afdb1fd-8281-4895-af9d-cfcbac31da1e,do we get july 5th off,ChatBot_Goodbyes,71%,Goodbye! Hope to see you soon!,-1,I asked if we get july 5th off  and it didn't answer my question and said 'goodbye'. That was not a helpful response.
17-Jun,16:08,7cdc0bcc-1150-4fde-a22f-8796369d3411,do we have benefits plans for legal support,Request_Support,51%,Sounds like you want to talk to someone. Please click https://workday.service-now.com/servicehub?id=sc_cat_item&sys_id=50303249dbcd3f00b89d7e88f4961948|here to submit your question or request. Hold tight and we will be in touch shortly.,0,I asked if we have benefits plans for legal support -and did not get usable answer - the bot seemed confused
19-Jun,18:26,91e69396-8923-493c-afae-0bc964654248,espp,Get_Plan_Info,74%,An ESPP is a voluntary benefit plan in which eligible employees may elect to contribute money from their payroll (or contribute directly for Hong Kong) to purchase company stock at a discounted price. Eligible employees may contribute between 1-15% (in 1% increments) of their (1) base salary (not including bonuses and commissions)  or (2) regular hourly wages (for hourly employees) to purchase shares under the ESPP. The contribution is calculated on gross wages  but deducted from after-tax dollars. To learn more including important dates and facts head to the https://workday--simpplr.na68.visual.force.com/apex/Simpplr__SiteContent#/site/a7x80000000GpgKAAS/page/a7t80000000HFyOAAW?origin=cl|ESPP site,-1,I asked WEX if I could change my ESPP contributions  it did not understand my question and politely asked me to rephrase and I did (twice). Eventually I just typed ESPP and eventually i found the answer to my question in the FAQ.
17-Jun,19:01,fc9e5dec-0104-42ba-ba10-633631915691,do i get paid while on leave,Request_Leave_of_Absence,68%,Workday recognizes there may be times when you need to take a leave of absence to attend to a medical condition  bond with a new child  take care of an ill or injured family member  or take time off for other circumstances.   You can find additional information about the different types of leaves available to you at https://workdayinc.benefitstream.net/leave-absence-5|BenefitStream.net.  Username: workday Password: welcome2benefits You may also plan a leave of absence  learn more about leaves and your benefits related to leaves  and file a leave claim by visiting LeaveLogic at https://workday.leavelogic.com|Workday LeaveLogic. If would like to speak to someone about a leave of absence you can contact Unum  Workday's leave of absence administrator  at 1.866.865.9092 or 1.207.575.0680.,-1,I asked Wex if I would get paid while on leave and it sent me the same response as it did to the question about what to do if I am having a baby which is general information about leave and links to benefitstream  leave logic and Unum
18-Jun,20:16,0c1974a5-3cea-4d44-9b41-1e7e4a5003ab,what legal plans do we have,ChatBot_What_To_Ask,40%,I'm Wex  your Workday Expert  and am available at all times to answer your People & Purpose Questions!,-1,I asked what legal plan I had and it returned the welcome message again.  I would expect that Wex would mention it doesn't know what I'm asking.  The question I asked was What legal plans do we have?
17-Jun,16:30,2483a279-fa86-4c92-a56f-935799595b82,verification of insurance,Get_Letter,82%,I think I can help. Please follow these steps to generate an employment verification letter:  1. Click your Worker Profile icon  2. Click the Actions icon  Worker Request  Request Reference Letter.   3. Click on the drop-down menu and click on Verification of Employment. Select either: Without Salary  With Salary  or With Salary + Variable Pay  4. Click the Submit button. You will receive your letter through your Workday Inbox  5. Click on your Inbox icon  and locate the letter.  6. Click on the PDF link to view and print your employment letter.,0,I clicked the verification of insurance option and it keeps providing the verification of employment process
17-Jun,18:47,c604ad70-caac-4a34-af98-fc2c7915f968,im a new hire and did not get a benefits enrollment task in workday,Enroll_in_Plan,100%,Happy to help! Enrolling in benefits is part of your onboarding tasks within your Workday Inbox. The onboarding tasks are scheduled to be completed in a particular order. If you have not yet seen the benefits enrollment task  you may need complete the next set of tasks in your inbox to move forward in the process. You must elect your benefits within your first thirty days of your date of hire. The effective date will be your date of hire.  For example  in the U.S.  your Enroll in Benefits task will follow your Review Documents tasks. You can also view your onboarding task progress within the Onboarding dashboard on your Workday Home page.  For step-by-step instructions on how to enroll in your benefits  check out our training options here: https://wd5.myworkday.com/workday/d/inst/17498$1151/rel-task/2998$28786.htmld|Desktop https://wd5.myworkday.com/workday/d/inst/17498$1210/rel-task/2998$28786.htmld|Mobile,1,
18-Jun,4:29,6f6c4855-fd17-430e-b4b9-8ed1cd4059e5,what benefits are available to parents,Get_Plan_Info,41%,To view a summary of your benefit elections  and costs  including medical  dental  vision and 401(k) from your Workday Home page:  1. Click the Benefits application.  2. From the View card  click the Benefit Elections button.   3. Click the Excel icon to download the list in a spreadsheet.   4. Click  the print icon to save as a PDF. Open the PDF and print. To learn more about Workday's benefit plans  visit BenefitStream https://workdayinc.benefitstream.net|here Username: workday Password: welcome2benefits When you make a change to your benefits it may take 1 to 2 payroll periods to see the change reflected on your check. The timing is dependent on when you completed your benefits enrollment task in Workday  the effective date of your enrollments  and the Payroll processing dates. If you'd like us to research your specific situation  please open a ServiceHub ticket via People & Purpose.,-1,I expected to see more on this as a resource for parents. The response does not answer my questions. I would have hoped to see something for Care.com  as an example.
18-Jun,5:02,f01a5f50-9880-4ab1-be18-2257f2be31e8,what is our fitness benefit,Enroll_in_Plan,86%,Workday wants to help you stay healthy and reach your fitness goals! We have a fitness reimbursement program that allows you to expense $50 per month (USD) on eligible fitness expenses.   To enroll in the fitness program:   1. Log into Workday   2. Select your Benefits icon  3. Select Change  Benefits  4. Select the Benefit Event type Add/Remove Fitness Program and Benefit Event Date  5. Attach supporting documents  6. Submit For more info  check out https://workday--simpplr.na68.visual.force.com/apex/Simpplr__SiteContent?origin=ac#/site/a7x80000000006hAAA/page/a7t800000000A6oAAE|Workday's Fitness Program or you can view the https://wd5.myworkday.com/workday/d/inst/17498$1077/rel-task/2998$28786.htmld|Workday Learning job aid. If you're having any trouble enrolling  submit a https://workday.service-now.com/servicehub?id=sc_cat_item&sys_id=50303249dbcd3f00b89d7e88f4961948&sysparm_category=e15706fc0a0a0aa7007fc21e1ab70c2f|Service Hub request.,1,
17-Jun,16:45,ac64e046-ef06-41f5-b586-35c61ef54912,hello,ChatBot_Greetings,100%,Hi! I'm Wex  your Workday Expert  and I am here to answer your People & Purpose questions!,-1,I was looking for where to find information specific to our pet insurance benefits. However  it returned a response about benefits elections and enrollment. While some info seems relevant like where to log in for more benefits info  it mentions medical  401k  dental  etc. only but not specific to my question. Perhaps  there could be a different response for the unique benefits we offer as well?
18-Jun,4:40,4b47a8cd-9986-4184-b7d6-6e7329451295,how do i reach cigna,Random_Questions,41%,I don't know the answer to that right now but my fellow Workmates are constantly teaching me new things to help me improve.,-1,I would think the phone number could easily pop up here. I had a better response when I spelled Cigna incorrectly.
18-Jun,0:57,3cd005cb-72df-4eea-81d9-f8b3f6e48866,i broke my leg,Use_Insurance,52%,Your benefits coverage is effective your hire date. You have 30 days from your hire date to enroll in benefits. You will receive a task in your Workday inbox after completing your initial Onboarding tasks).,-1,Iâ€™m sorry you broke your leg. Please see a doctor :)
18-Jun,0:15,d9bc5198-bbfb-4aa4-9df8-b5f2fda406c0,pet insurance,Enroll_in_Plan,100%,Lets talk about enrolling in benefits! Workday's next Open Enrollment period is November 1-15  2019. Additional details will be sent via email as the date approaches. For step-by-step instructions on how to enroll in your benefits  check out our training options: https://wd5.myworkday.com/workday/d/inst/17498$1151/rel-task/2998$28786.htmld|Desktop https://wd5.myworkday.com/workday/d/inst/17498$1210/rel-task/2998$28786.htmld|Mobile If you do not make any changes during Open Enrollment  your current elections will rollover to the following plan year. With the exception of the FSA plans (Healthcare  Limited Purpose  and Dependent Care)  active election is required in order to participate in the FSA plans each year  as prior year elections do not carry over.,-1,If he canâ€™t help about pet insurance we should not have him redirect to medical. I suggest adding pet insurance question to wex
18-Jun,0:18,274246f8-8209-4634-aded-a154eaf01c0c,Finding a doctor,Random_Questions,72%,I don't know the answer to that right now but my fellow Workmates are constantly teaching me new things to help me improve.,-1,Is there a list of doctor providers we can point Wex to?
18-Jun,4:35,60ca526e-cafc-484a-89f5-e6e83849d106,when is open enrollment,Enroll_in_Plan,100%,Lets talk about enrolling in benefits! Workday's next Open Enrollment period is November 1-15  2019. Additional details will be sent via email as the date approaches. For step-by-step instructions on how to enroll in your benefits  check out our training options: https://wd5.myworkday.com/workday/d/inst/17498$1151/rel-task/2998$28786.htmld|Desktop https://wd5.myworkday.com/workday/d/inst/17498$1210/rel-task/2998$28786.htmld|Mobile If you do not make any changes during Open Enrollment  your current elections will rollover to the following plan year. With the exception of the FSA plans (Healthcare  Limited Purpose  and Dependent Care)  active election is required in order to participate in the FSA plans each year  as prior year elections do not carry over.,1,Perfect response.
18-Jun,0:56,d4b49b61-393b-4673-8900-72831df5d695,im depressed,ChatBot_Negative_Feedback,64%,I'm really sorry I couldn't support you with that. Please leave feedback and my Workmates will help me improve.,-1,Link to EAP
18-Jun,0:33,b7cee402-d538-4956-b133-db746e4e3748,holiday schedule,ChatBot_Greetings,25%,Hi! I'm Wex  your Workday Expert  and I am here to answer your People & Purpose questions!,-1,Link to US holiday schedule
18-Jun,21:12,d8f8cf07-9d08-4386-85ef-6f1d3d02f5fa,when is the next espp enrollment,Enroll_in_Plan,100%,Happy to talk about ESPP! Workday has two ESPP enrollment periods per year - November and May. Don't worry  you will receive a Workday task in your inbox once the enrollment period opens. If you have more questions  check out the ESPP FAQ https://workday--simpplr.na68.visual.force.com/apex/Simpplr__SiteContent#/site/a7x80000000GpgKAAS/page/a7t80000000HFyOAAW?origin=cl|here or reach out to our Stock Admin team within Service Hub https://workday.service-now.com/servicehub?id=sc_cat_item&sys_id=20c0860449413100d0ae0e069ef85f2b&sysparm_category=c03b4db279387100d0aeae36adbaa297|here.,1,This response was great!
18-Jun,18:24,fd60426c-401f-44a0-963d-773b7c56339c,how to submit a medical insurance claim,Submit_Expenses,65%,Looks like you're interested in learning more about expenses and expense reimbursements.,-1,Medical insurance claim doesn't have to do with expenses
18-Jun,0:53,d4b49b61-393b-4673-8900-72831df5d695,Whats the max contribution into my 401k,View_Contribution_Limit,94%,Sounds like you're interested in learning more about 401(k) contribution limits. Workday will stop your 401(k) contributions once you reach the IRS maximum. If you contributed to another 401(k) plan during the plan year you will need to complete a https://workdayinc.benefitstream.net/sites/default/new-files/WorkdayInc/documents/Prior%20Employer%20401(k)_Limit_Request.pdf|Prior Employer 401(k) Limit Request form so that we can make note of that balance and stop your contributions appropriately.,-1,Missing the actual IRS maximum amount
